,threat_level
2127,other
2128,attack
2129,other
2130,other
2132,other
2133,attack
2134,attack
2135,other
2136,attack
2137,other
2138,other
2140,attack
2141,attack
2142,attack
2143,other
2144,attack
2145,attack
2146,attack
2147,undetermined
2148,other
2150,undetermined
2152,attack
2153,attack
2154,attack
2155,attack
2156,attack
2158,attack
2159,attack
2160,other
2161,other
2162,attack
2163,attack
2164,attack
2166,other
2167,other
2168,attack
2169,attack
2170,attack
2172,other
2173,other
2176,attack
2177,attack
2178,attack
2179,attack
2180,undetermined
2181,attack
2182,attack
2183,other
2184,attack
2185,attack
2186,attack
2187,other
2188,other
2189,attack
2190,other
2191,attack
2192,other
2193,attack
2194,other
2195,attack
2196,attack
2197,other
2198,other
2199,other
2200,other
2201,attack
2202,other
2203,attack
2204,attack
2205,attack
2206,attack
2207,attack
2208,attack
2209,other
2210,other
2211,other
2212,other
2213,other
2214,attack
2216,attack
2217,attack
2218,attack
2219,attack
2220,undetermined
2221,other
2222,other
