,Median Income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic,Level
341,38750,29.3,94.7,94.4,2.2,1.1,0,4.5,0
342,38750,32.5,84.1,78.4,6.4,0.3,3.5,15.7,0
343,38769,25.1,86.7,66.4,22.7,0.6,1.7,9.7,0
344,38776,23.3,86.9,45,50.6,0.3,1.8,2.4,0
345,38808,18.6,84,45.3,49.1,0.3,1.6,3.6,0
346,38900,30.9,77.5,68.7,29.6,0.1,0.5,1.7,0
347,38909,13.3,85.3,83.4,9.9,0.5,1.8,5,0
348,38954,26.1,84.7,72.9,16.4,0.3,3.4,7.9,0
349,39011,24.6,85.1,68.4,19.6,0.5,4.4,8.7,0
350,39014,20.7,77.2,43.5,41.1,0.4,6.8,13.4,0
351,39061,23.3,76,52.5,41.5,0.2,2.7,3.1,0
352,39064,19,80.9,55.4,37,0.4,0.8,6.6,0
353,39085,34.4,79,85.8,0.1,3,3.3,10.6,0
354,39206,15.6,85.7,86.3,3.1,0.6,0.9,27.4,0
355,39274,17.8,87.1,84.9,10.4,0.3,1.6,3,0
356,39313,14.3,85.7,86.2,1.1,6.5,0.1,3.7,0
357,39313,18.3,84.6,78.6,3.9,1.5,0.2,49.7,0
358,39351,25.1,87.3,53.8,41.5,0.2,1.8,3,0
359,39371,30,96.7,89.5,1.3,0.7,3.2,9.2,0
360,39382,20.6,87.4,74.5,17.1,0.3,1.9,12.7,0
361,39432,24,91.7,83.8,6,1.1,3.1,6.4,0
362,39468,16.2,88,86.3,5.6,0.3,2.7,9,0
363,39543,22.7,81.8,41.6,47.2,0.5,1.9,10.9,1
364,39566,23.1,89.3,86.9,6.6,0.3,2,4.2,0
365,39567,27,83.9,94.5,2.3,0.4,1.4,0.3,0
366,39580,32.7,51.1,49.2,7.6,1.1,0.7,76.7,0
367,39586,19.6,89.7,88.2,7.2,0.3,0.8,3.1,0
368,39610,20.2,83.5,95.4,1.9,0.2,0.4,1.1,0
369,39625,17.3,85,84.7,9.4,0.2,1.5,7.7,0
370,39632,33.7,79.8,52.3,14.6,2.1,3.2,42.8,0
371,39659,12.7,89.9,83.3,11,0.3,1,3.7,0
372,39681,29.7,92.5,57.4,35,0.2,3.7,6.3,0
373,39698,15.2,90.5,94.8,0.6,0.2,0.7,4.9,0
374,39706,19.2,87.4,70.8,20.9,0.3,1.8,12.6,1
375,39711,30.8,66.3,87.7,0.5,0.4,0.6,95.6,1
376,39793,18.5,84.6,73.5,0.9,1.1,5.5,31.1,0
377,39823,16.9,76.8,74.9,19.1,0.3,0.6,6,0
378,39872,23.1,75.3,63.5,2.6,1.1,5,58.8,0
379,39876,25.6,86.7,39.4,54.5,0.2,3.3,3.3,2
380,39890,23.7,77.2,56.7,27.4,0.5,1.7,24.1,0
381,39906,26.9,86.5,90.7,4,0.5,1.2,2.7,0
382,39930,21.2,84.4,64.2,28.5,0.3,1.8,5.5,0
383,39975,22.1,80.3,69.9,2.5,1.2,0.7,53.4,0
384,39982,17.6,85.4,96.1,0.8,0.7,0.3,2.2,0
385,40000,14.4,82.3,97.5,0.9,0,0.5,0.5,0
386,40066,12.9,81.3,85.9,10,0.1,1.5,3.1,0
387,40107,25.9,88.7,81.1,12.8,0.2,1.9,2.8,0
388,40177,22.6,85.2,58,34.9,0.4,2,5.5,1
389,40219,15.9,89.2,80.9,10.3,0.3,3.1,8.9,0
390,40227,18.1,84.9,73.3,15.9,0.3,1.1,17,0
391,40230,25,64,50.7,24.3,1.4,0.9,45.8,0
392,40292,16.7,87.6,96.6,0.1,0.6,0.7,1.7,0
393,40355,26,85.1,64.6,20.9,0.7,1.9,15.6,0
394,40419,19.8,85.6,83.6,6.2,0.4,1.4,12.1,0
395,40427,22.1,85.2,84,8.5,0.2,0.6,6.4,0
396,40432,20.8,83.2,63,27.8,0.4,1.3,9.6,1
397,40457,27.6,58.2,49.9,3.4,3.1,2.2,76.7,0
398,40465,24.5,83.2,32.6,58,0.4,1,12.4,1
399,40489,23,83.7,50.6,43.5,0.3,1.7,4.4,0
400,40547,28.3,77.6,75.8,20.3,0.2,0.3,3.8,0
401,40619,12.7,94.7,96.2,0.1,0.8,0.3,2.5,0
402,40625,30.8,79.6,66.8,3.9,0.9,4.8,36.8,0
403,40633,14.7,92.6,96.3,0.8,0.4,0.7,1.5,0
404,40706,28.3,71.2,54.2,15.2,0.6,3.2,41.6,0
405,40715,22.9,91.4,66,26.1,0.2,4.4,2.3,0
406,40726,23,73.3,67.1,1.7,2,1.5,41.3,0
407,40755,22.8,84.3,61.4,20.2,0.7,3.6,10.5,0
408,40758,24.8,83.7,94.9,2.3,0.2,0.8,2.4,0
